('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 44936, '192.168.70.129', 10001);('12.1.1.151', 44936, '192.168.70.129', 10001);('12.1.1.151', 44936, '192.168.70.129', 10001);
;;;;;;4737.666099;84.0;30.0;4737.666099;1509.0;1508.0;
;;;;;;4737.769854;84.0;30.0;4737.769854;1509.0;1508.0;
;;;;;;4737.873651;84.0;30.0;4737.873651;1509.0;1508.0;
;;;;;;4737.977347;84.0;30.0;4737.977347;1509.0;1508.0;
;;;;;;4738.081026;84.0;30.0;4738.081026;1509.0;1508.0;
;;;;;;4738.184731;84.0;30.0;4738.184731;1509.0;1508.0;
;;;;;;4738.288468;84.0;30.0;4738.288468;1509.0;1508.0;
;;;;;;4738.39217;84.0;30.0;4738.39217;1509.0;1508.0;
;;;;;;4738.495893;84.0;30.0;4738.495893;1509.0;1508.0;
;;;;;;4738.600117;84.0;30.0;4738.600117;1509.0;1508.0;
;;;;;;4738.703985;84.0;30.0;4738.703985;1509.0;1508.0;
;;;;;;4738.80776;84.0;30.0;4738.80776;1509.0;1508.0;
;;;;;;4738.911532;84.0;30.0;4738.911532;1509.0;1508.0;
;;;;;;4739.015309;84.0;30.0;4739.015309;1509.0;1508.0;
;;;;;;4739.119005;84.0;30.0;4739.119005;1509.0;1508.0;
;;;;;;4739.222755;85.0;30.0;4739.222755;1509.0;1508.0;
;;;;;;4739.326687;85.0;30.0;4739.326687;1509.0;1508.0;
;;;;;;4739.430357;85.0;30.0;4739.430357;1509.0;1508.0;
;;;;;;4739.534122;85.0;30.0;4739.534122;1509.0;1508.0;
;;;;;;4739.637858;85.0;30.0;4739.637858;1509.0;1508.0;
;;;;;;4739.741571;85.0;30.0;4739.741571;1509.0;1508.0;
;;;;;;4739.845135;87.0;30.0;4739.845135;1509.0;1508.0;
;;;;;;4739.948708;109.0;30.0;4739.948708;1509.0;1508.0;
;;;;;;4740.052271;117.0;30.0;4740.052271;1509.0;1508.0;
;;;;;;4740.155837;118.0;30.0;4740.155837;1509.0;1508.0;
;;;;;;4740.259373;118.0;30.0;4740.259373;1509.0;1508.0;
;;;;;;4740.363009;118.0;30.0;4740.363009;1509.0;1508.0;
;;;;;;1685938060.4666;118.0;30.0;1685938060.4666;1509.0;1508.0;
;;;;;;4740.570148;118.0;30.0;4740.570148;1509.0;1508.0;
;;;;;;4740.673677;121.0;30.0;4740.673677;1509.0;1508.0;
;;;;;;4740.777217;121.0;30.0;4740.777217;1509.0;1508.0;
;;;;;;4740.880769;122.0;30.0;4740.880769;1509.0;1508.0;
;;;;;;4740.984407;126.0;30.0;4740.984407;1509.0;1508.0;
;;;;;;4741.087979;126.0;30.0;4741.087979;1510.0;1508.0;
;;;;;;4741.191519;126.0;30.0;4741.191519;1510.0;1508.0;
;;;;;;4741.295052;126.0;30.0;4741.295052;1510.0;1508.0;
;;;;;;4741.398806;126.0;30.0;4741.398806;1510.0;1508.0;
;;;;;;4741.50237;126.0;30.0;4741.50237;1510.0;1508.0;
;;;;;;4741.605962;126.0;30.0;4741.605962;1510.0;1508.0;
;;;;;;4741.709553;126.0;30.0;4741.709553;1510.0;1508.0;
;;;;;;4741.813106;126.0;30.0;4741.813106;1510.0;1508.0;
;;;;;;4741.91665;126.0;30.0;4741.91665;1510.0;1508.0;
;;;;;;4742.023637;126.0;30.0;4742.023637;1510.0;1508.0;
;;;;;;4742.127234;126.0;30.0;4742.127234;1510.0;1508.0;
;;;;;;4742.230775;126.0;30.0;4742.230775;1510.0;1508.0;
;;;;;;4742.334351;126.0;30.0;4742.334351;1510.0;1508.0;
;;;;;;4742.437911;126.0;30.0;4742.437911;1510.0;1508.0;
;;;;;;4742.541438;126.0;30.0;4742.541438;1510.0;1508.0;
;;;;;;4742.645007;126.0;30.0;4742.645007;1510.0;1508.0;
;;;;;;4742.748771;126.0;30.0;4742.748771;1510.0;1508.0;
;;;;;;4742.852287;126.0;30.0;4742.852287;1510.0;1508.0;
;;;;;;4742.955925;126.0;30.0;4742.955925;1510.0;1508.0;
;;;;;;4743.059435;126.0;30.0;4743.059435;1510.0;1508.0;
;;;;;;4743.163063;126.0;30.0;4743.163063;1510.0;1508.0;
;;;;;;4743.266768;126.0;30.0;4743.266768;1510.0;1508.0;
;;;;;;4743.37041;127.0;30.0;4743.37041;1510.0;1508.0;
;;;;;;4743.474095;127.0;30.0;4743.474095;1510.0;1508.0;
;;;;;;4743.577773;127.0;30.0;4743.577773;1510.0;1508.0;
;;;;;;4743.681989;127.0;30.0;4743.681989;1510.0;1508.0;
