Throughput;Throughput;Sending Rate;Sending Rate;
1685936856.9838977;0.25;1685936856.9838977;0.25;
1685936857.1838977;0.25;1685936857.1838977;0.25;
1685936857.3838978;0.25;1685936857.3838978;0.25;
1685936857.5838978;0.25;1685936857.5838978;0.25;
1685936857.7838979;0.25;1685936857.7838979;0.25;
1685936857.983898;0.25;1685936857.983898;0.25;
1685936858.183898;0.25;1685936858.183898;0.25;
1685936858.383898;0.25;1685936858.383898;0.25;
1685936858.583898;0.25;1685936858.583898;0.25;
1685936858.783898;0.25;1685936858.783898;0.25;
1685936858.9838982;1;1685936858.9838982;0.25;
1685936859.1838982;0.25;1685936859.1838982;0.4421537229783827;
1685936859.3838983;0.3651527591720323;1685936859.3838983;0.49;
1685936859.5838983;0.26189801699716714;1685936859.5838983;0.25;
1685936859.7838984;0.30802047781569963;1685936859.7838984;0.28974562798092207;
1685936859.9838984;0.25;1685936859.9838984;0.25;
1685936860.1838984;0.25;1685936860.1838984;0.25;
1685936860.3838985;0.25;1685936860.3838985;0.25;
1685936860.5838985;0.3022995336929688;1685936860.5838985;0.2900195555637069;
1685936860.7838986;0.25;1685936860.7838986;0.25;
1685936860.9838986;0.25;1685936860.9838986;0.25;
1685936861.1838987;1;1685936861.1838987;0.25;
1685936861.3838987;1;1685936861.3838987;0.25;
1685936861.5838988;0.25;1685936861.5838988;0.25;
1685936861.7838988;0.25;1685936861.7838988;0.25;
1685936861.9838989;0.25;1685936861.9838989;0.25;
1685936862.183899;0.25;1685936862.183899;0.25;
1685936862.383899;0.25;1685936862.383899;0.25;
1685936862.583899;0.25;1685936862.583899;0.25;
1685936862.783899;0.25;1685936862.783899;0.25;
1685936862.983899;0.45172068159037754;1685936862.983899;0.48166189111747854;
1685936863.1838992;0.4903410805916088;1685936863.1838992;0.4891496899911426;
1685936863.3838992;0.25;1685936863.3838992;0.25;
1685936863.5838993;0.30947846469381773;1685936863.5838993;0.27831767280216246;
1685936863.7838993;1;1685936863.7838993;0.25;
1685936863.9838994;0.2730278696268304;1685936863.9838994;0.28393316195372753;
1685936864.1838994;0.25;1685936864.1838994;0.25;
1685936864.3838995;0.25;1685936864.3838995;0.25;
1685936864.5838995;0.30074821080026026;1685936864.5838995;0.3630978989718373;
1685936864.7838995;0.3238929279576999;1685936864.7838995;0.25;
1685936864.9838996;0.25;1685936864.9838996;0.25;
1685936865.1838996;0.25;1685936865.1838996;0.25;
1685936865.3838997;0.25;1685936865.3838997;0.25;
1685936865.5838997;0.25;1685936865.5838997;0.25;
1685936865.7838998;1;1685936865.7838998;0.25;
1685936865.9838998;1;1685936865.9838998;0.25;
1685936866.1838999;0.25;1685936866.1838999;0.25;
1685936866.3839;0.25;1685936866.3839;0.25;
1685936866.5839;0.25;1685936866.5839;0.25;
1685936866.7839;0.25;1685936866.7839;0.25;
1685936866.9839;0.48603741971516334;1685936866.9839;0.4990962494351559;
1685936867.1839;0.28065314784248996;1685936867.1839;0.30802047781569963;
1685936867.3839002;0.26074771755460535;1685936867.3839002;0.25;
1685936867.5839002;0.25;1685936867.5839002;0.2553757225433526;
1685936867.7839003;0.4448464525238263;1685936867.7839003;0.3853503184713376;
1685936867.9839003;0.25;1685936867.9839003;0.25;
1685936868.1839004;0.25;1685936868.1839004;0.25;
1685936868.3839004;1;1685936868.3839004;0.25;
1685936868.5839005;1;1685936868.5839005;0.25;
1685936868.7839005;0.30442418221812245;1685936868.7839005;0.3830238726790451;
1685936868.9839005;0.25;1685936868.9839005;0.25;
1685936869.1839006;0.25;1685936869.1839006;0.25;
1685936869.3839006;0.25;1685936869.3839006;0.25;
1685936869.5839007;0.25;1685936869.5839007;0.25;
1685936869.7839007;0.25;1685936869.7839007;0.25;
