('192.168.70.129', 53130, '12.1.1.160', 10001);('192.168.70.129', 32792, '12.1.1.160', 10000);
1685951254.44597;1685951273.471264;
1685951254.446005;1685951273.471289;
1685951254.455779;1685951273.471325;
1685951254.460738;1685951273.471368;
1685951254.460868;1685951273.491062;
1685951254.460903;1685951273.491089;
1685951254.46094;1685951273.506638;
1685951254.460976;1685951273.506667;
1685951254.461339;1685951273.506693;
1685951254.461398;1685951273.506719;
1685951254.461847;1685951273.506744;
1685951254.475761;1685951273.50677;
1685951254.481746;1685951273.526858;
1685951254.486721;1685951273.527051;
1685951254.495909;1685951273.527101;
1685951254.496339;1685951273.527128;
1685951254.506775;1685951273.527152;
1685951254.510829;1685951273.527178;
1685951254.511777;1685951273.527203;
1685951254.516878;1685951273.527228;
1685951254.521763;1685951273.527254;
1685951254.525962;1685951273.527317;
1685951254.530707;1685951273.527343;
1685951254.5362;1685951273.52737;
1685951254.541875;1685951273.527407;
1685951254.546716;1685951273.527433;
1685951254.555701;1685951273.527459;
1685951254.556986;1685951273.527485;
1685951254.561909;1685951273.527528;
1685951254.570751;1685951273.527555;
1685951254.576219;1685951273.530737;
1685951254.581851;1685951273.586553;
1685951254.581926;1685951273.586756;
1685951254.586742;1685951273.586876;
1685951254.591775;1685951273.586903;
1685951254.596968;1685951273.586929;
1685951254.606241;1685951273.586955;
1685951254.606833;1685951273.58698;
1685951254.615704;1685951273.587006;
1685951254.620764;1685951273.587032;
1685951254.621824;1685951273.587092;
1685951254.631712;1685951273.587121;
1685951254.63695;1685951273.587161;
1685951254.641795;1685951273.587187;
1685951254.651729;1685951273.587213;
1685951254.656984;1685951273.587239;
1685951254.665755;1685951273.587265;
1685951254.670691;1685951273.587291;
1685951254.671865;1685951273.587354;
1685951254.677008;1685951273.587381;
1685951254.686301;1685951273.587408;
1685951254.691826;1685951273.587446;
1685951254.696288;1685951273.587472;
1685951254.706295;1685951273.587498;
1685951254.711837;1685951273.587525;
1685951254.716348;1685951273.590958;
1685951254.725762;1685951273.591028;
1685951254.73177;1685951273.591054;
1685951254.736923;1685951273.616919;
1685951254.741847;1685951273.631056;
1685951254.746705;1685951273.631086;
1685951254.756196;1685951273.631113;
1685951254.761867;1685951273.631139;
1685951255.401875;1685951273.63118;
1685951255.406873;1685951273.646424;
1685951255.416238;1685951273.646492;
1685951255.421806;1685951273.646518;
1685951255.426751;1685951274.02188;
1685951255.43624;1685951274.025886;
1685951255.441811;1685951274.025958;
1685951255.446757;1685951274.036602;
1685951255.451896;1685951274.036717;
1685951255.45693;1685951274.036759;
1685951255.466233;1685951274.036803;
1685951255.471689;1685951274.036869;
1685951255.476976;1685951274.036902;
1685951255.481789;1685951274.065852;
1685951255.490772;1685951274.066246;
1685951255.501764;1685951274.076231;
1685951255.506777;1685951274.081808;
1685951255.510798;1685951274.101838;
1685951255.510805;1685951274.102003;
1685951255.510813;1685951274.102056;
1685951255.51082;1685951274.102089;
1685951255.510827;1685951274.102121;
1685951255.510834;1685951274.102154;
1685951255.510845;1685951274.102186;
1685951255.510851;1685951274.102218;
1685951255.510859;1685951274.10227;
1685951255.510866;1685951274.102303;
1685951255.510873;1685951274.102336;
1685951255.510881;1685951274.105817;
1685951255.510888;1685951274.106928;
1685951255.510895;1685951274.107007;
1685951255.510902;1685951274.10704;
1685951255.510909;1685951274.107072;
1685951255.510916;1685951274.120813;
1685951255.510923;1685951274.121827;
1685951255.510933;1685951274.121862;
1685951255.510939;1685951274.121895;
1685951255.510946;1685951274.121927;
1685951255.510953;1685951274.121971;
1685951255.51096;1685951274.122003;
1685951255.510966;1685951274.122035;
