('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);
;;;;;;72754.827727;935.0;181.0;72754.827727;503.0;495.0;
;;;;;;72754.931714;936.0;181.0;72754.931714;503.0;495.0;
;;;;;;72755.035789;936.0;181.0;72755.035789;503.0;495.0;
;;;;;;72755.139633;938.0;181.0;72755.139633;504.0;495.0;
;;;;;;72755.243672;952.0;181.0;72755.243672;504.0;495.0;
;;;;;;72755.347512;983.0;181.0;72755.347512;504.0;495.0;
;;;;;;72755.451446;1007.0;181.0;72755.451446;504.0;495.0;
;;;;;;72755.555268;1028.0;181.0;72755.555268;504.0;495.0;
;;;;;;72755.659091;1070.0;181.0;72755.659091;504.0;495.0;
;;;;;;72755.763001;1094.0;181.0;72755.763001;504.0;495.0;
;;;;;;72755.866976;1120.0;181.0;72755.866976;504.0;495.0;
;;;;;;72755.970856;1144.0;181.0;72755.970856;504.0;495.0;
;;;;;;72756.074872;1170.0;181.0;72756.074872;504.0;495.0;
;;;;;;72756.178833;1191.0;181.0;72756.178833;504.0;495.0;
;;;;;;72756.282698;1198.0;181.0;72756.282698;504.0;495.0;
;;;;;;72756.386592;1198.0;181.0;72756.386592;504.0;495.0;
;;;;;;72756.49047;1200.0;181.0;72756.49047;504.0;495.0;
;;;;;;72756.594353;1200.0;181.0;72756.594353;504.0;495.0;
;;;;;;72756.698344;1202.0;181.0;72756.698344;505.0;495.0;
;;;;;;72756.802463;1222.0;181.0;72756.802463;505.0;495.0;
;;;;;;72756.90651;1256.0;181.0;72756.90651;505.0;495.0;
;;;;;;72757.01033;1273.0;181.0;72757.01033;505.0;495.0;
;;;;;;72757.114371;1293.0;181.0;72757.114371;505.0;495.0;
;;;;;;72757.218332;1321.0;181.0;72757.218332;505.0;495.0;
;;;;;;72757.332932;1349.0;181.0;72757.332932;505.0;495.0;
;;;;;;72757.436838;1387.0;181.0;72757.436838;505.0;495.0;
;;;;;;72757.540857;1424.0;181.0;72757.540857;505.0;495.0;
;;;;;;72757.644699;1458.0;181.0;72757.644699;505.0;495.0;
;;;;;;72757.748535;1487.0;181.0;72757.748535;505.0;495.0;
;;;;;;72757.852395;1518.0;181.0;72757.852395;505.0;495.0;
;;;;;;72757.956194;1548.0;181.0;72757.956194;505.0;495.0;
;;;;;;72758.060201;1567.0;181.0;72758.060201;505.0;495.0;
;;;;;;72758.164227;1567.0;181.0;72758.164227;505.0;495.0;
