('192.168.70.129', 51504, '12.1.1.157', 10001);('192.168.70.129', 51504, '12.1.1.157', 10001);
1685896516.7501483;12653163.255172415;
1685896516.9501483;12653955.494252874;
1685896517.1501484;12673719.228426397;
1685896517.3501484;12678848.483627204;
1685896517.5501485;12679775.837563451;
1685896517.7501485;12689819.727959698;
1685896517.9501486;12690768.457142858;
1685896518.1501486;12690030.666666666;
1685896518.3501487;12698601.83745583;
1685896518.5501487;12703100.207407407;
1685896518.7501488;12698055.438256659;
1685896518.9501488;12713611.192118227;
1685896519.1501489;12714211.39503386;
1685896519.350149;12723311.582608696;
1685896519.550149;12725810.886414254;
1685896519.750149;12726440.384279476;
1685896519.950149;12735512.826510722;
1685896520.150149;12730454.0;
1685896520.3501492;12738744.393442623;
1685896520.5501492;12748665.89090909;
1685896520.7501493;12739709.726775955;
1685896520.9501493;12747941.013333334;
1685896521.1501493;12754729.40521739;
1685896521.3501494;12759442.647482015;
1685896521.5501494;12766502.544090057;
1685896521.7501495;12778667.663551401;
1685896521.9501495;12779401.910761155;
1685896522.1501496;12797179.002169197;
1685896522.3501496;12799747.406844106;
1685896522.5501497;12807157.265392782;
1685896522.7501497;12810304.0;
1685896522.9501498;12815852.431077695;
1685896523.1501498;12820397.007481297;
1685896523.3501499;12836938.737306843;
1685896523.55015;12841650.886414254;
1685896523.75015;12841976.873362446;
1685896523.95015;12853438.341968913;
1685896524.15015;12853328.056537103;
1685896524.35015;12854842.330708662;
1685896524.5501502;12864342.285714285;
1685896524.7501502;12864539.456193354;
1685896524.9501503;12853162.498687664;
1685896525.1501503;12876153.82857143;
1685896525.3501503;12881714.704684317;
1685896525.5501504;12884368.355555555;
1685896525.7501504;12887936.701754386;
1685896525.9501505;12890765.269978402;
1685896526.1501505;12898545.97260274;
1685896526.3501506;12888186.54945055;
1685896526.5501506;12893912.90376569;
1685896526.7501507;12900858.498567335;
1685896526.9501507;12918420.780656304;
1685896527.1501508;12916802.40429338;
1685896527.3501508;12915028.229885057;
1685896527.5501509;12932823.138461538;
1685896527.750151;12934467.376884421;
1685896527.950151;12943421.593984962;
1685896528.150151;12945352.844221106;
1685896528.350151;12945966.02247191;
1685896528.550151;12953431.390134528;
1685896528.7501512;12957719.092783505;
1685896528.9501512;12956898.923076924;
1685896529.1501513;12964129.641025642;
1685896529.3501513;12969024.0;
1685896529.5501513;12969115.42857143;
1685896529.7501514;12973244.041237114;
1685896529.9501514;12981014.903010033;
1685896530.1501515;12971406.76923077;
1685896530.3501515;12982915.254237289;
1685896530.5501516;12992269.483146068;
1685896530.7501516;12993842.813186813;
1685896530.9501517;12992265.634408602;
1685896531.1501517;13001690.85943775;
1685896531.3501518;13003300.64;
1685896531.5501518;13005870.015189873;
1685896531.7501519;13015103.037593985;
1685896531.950152;13015018.61978022;
1685896532.150152;13020261.957446808;
1685896532.350152;13027061.696145125;
1685896532.550152;13026662.274509804;
1685896532.750152;13026208.0;
1685896532.9501522;13018620.031007752;
1685896533.1501522;13034658.62295082;
1685896533.3501523;13043372.613138687;
1685896533.5501523;13045427.38517179;
1685896533.7501523;13057307.284872299;
1685896533.9501524;13058507.741935484;
1685896534.1501524;13059921.217391305;
1685896534.3501525;13067979.904;
1685896534.5501525;13089184.075294118;
1685896534.7501526;13081910.342342343;
1685896534.9501526;13099132.687058823;
1685896535.1501527;13107658.0;
1685896535.3501527;13108179.525423728;
1685896535.5501528;13113418.02849003;
1685896535.7501528;13119436.293785311;
