('192.168.70.129', 58360, '12.1.1.154', 10001);('192.168.70.129', 58360, '12.1.1.154', 10001);('192.168.70.129', 58360, '12.1.1.154', 10001);('192.168.70.129', 54770, '12.1.1.154', 10000);('192.168.70.129', 54770, '12.1.1.154', 10000);('192.168.70.129', 54770, '12.1.1.154', 10000);total;total;total;
1685944063.4826326;0;106;1685944063.4826326;0;0;1685944063.4826326;0;106;
1685944063.6826327;0;127;1685944063.6826327;0;0;1685944063.6826327;0;127;
1685944063.8826327;0;142;1685944063.8826327;0;0;1685944063.8826327;0;142;
1685944064.0826328;0;138;1685944064.0826328;0;0;1685944064.0826328;0;138;
1685944064.2826328;0;2;1685944064.2826328;0;161;1685944064.2826328;0;163;
1685944064.4826329;0;8;1685944064.4826329;0;145;1685944064.4826329;0;153;
1685944064.682633;0;147;1685944064.682633;0;0;1685944064.682633;0;147;
1685944064.882633;0;165;1685944064.882633;0;0;1685944064.882633;0;165;
1685944065.082633;0;168;1685944065.082633;0;0;1685944065.082633;0;168;
1685944065.282633;0;175;1685944065.282633;0;0;1685944065.282633;0;175;
1685944065.482633;0;154;1685944065.482633;0;11;1685944065.482633;0;165;
1685944065.6826332;0;109;1685944065.6826332;0;38;1685944065.6826332;0;147;
1685944065.8826332;0;0;1685944065.8826332;0;165;1685944065.8826332;0;165;
1685944066.0826333;0;92;1685944066.0826333;0;92;1685944066.0826333;0;184;
1685944066.2826333;0;162;1685944066.2826333;0;0;1685944066.2826333;0;162;
1685944066.4826334;0;167;1685944066.4826334;0;0;1685944066.4826334;0;167;
1685944066.6826334;0;166;1685944066.6826334;0;0;1685944066.6826334;0;166;
1685944066.8826334;0;150;1685944066.8826334;0;14;1685944066.8826334;0;164;
1685944067.0826335;0;47;1685944067.0826335;0;119;1685944067.0826335;0;166;
1685944067.2826335;0;0;1685944067.2826335;0;170;1685944067.2826335;0;170;
1685944067.4826336;0;155;1685944067.4826336;0;11;1685944067.4826336;0;166;
1685944067.6826336;0;179;1685944067.6826336;0;0;1685944067.6826336;0;179;
1685944067.8826337;0;155;1685944067.8826337;0;30;1685944067.8826337;0;185;
1685944068.0826337;0;6;1685944068.0826337;0;174;1685944068.0826337;0;180;
1685944068.2826338;0;45;1685944068.2826338;0;126;1685944068.2826338;0;171;
