('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);
;;;120146.664932;246.0;55.0;
;;;120146.768938;247.0;55.0;
;;;120146.872928;247.0;55.0;
;;;120146.987073;248.0;55.0;
;;;120147.091172;248.0;55.0;
;;;120147.195316;249.0;55.0;
;;;120147.29938;249.0;55.0;
;;;120147.403369;250.0;55.0;
;;;120147.507377;250.0;55.0;
;;;120147.611447;251.0;55.0;
;;;120147.715444;251.0;55.0;
;;;120147.819499;252.0;55.0;
;;;120147.92347;252.0;55.0;
;;;120148.027464;253.0;55.0;
;;;120148.131466;253.0;55.0;
;;;120148.235461;254.0;55.0;
;;;120148.339457;254.0;55.0;
;;;120148.443492;255.0;55.0;
;;;120148.547449;255.0;55.0;
;;;120148.651416;255.0;55.0;
;;;120148.755442;256.0;55.0;
;;;120148.859493;256.0;55.0;
;;;120148.963484;257.0;55.0;
;;;120149.067516;257.0;55.0;
;;;120149.171497;258.0;55.0;
;;;120149.275502;258.0;55.0;
;;;120149.379501;259.0;55.0;
;;;120149.483603;259.0;55.0;
;;;120149.587539;259.0;55.0;
;;;120149.691486;260.0;55.0;
;;;120149.795539;260.0;55.0;
;;;120149.899524;261.0;55.0;
;;;120150.00345;261.0;55.0;
;;;120150.107413;262.0;55.0;
;;;120150.211423;262.0;55.0;
;;;120150.315518;262.0;55.0;
;;;120150.419524;263.0;55.0;
;;;120150.523499;263.0;55.0;
;;;120150.627468;264.0;55.0;
;;;120150.731472;264.0;55.0;
;;;120150.835504;265.0;55.0;
;;;120150.93954;265.0;55.0;
;;;120151.04353;266.0;55.0;
;;;120151.14746;266.0;55.0;
;;;120151.251455;266.0;55.0;
;;;120151.355412;267.0;55.0;
;;;120151.459391;267.0;55.0;
;;;120151.563448;268.0;55.0;
;;;120151.667449;268.0;55.0;
;;;120151.771468;269.0;55.0;
;;;120151.875464;269.0;55.0;
;;;120151.995631;270.0;55.0;
;;;120152.099605;270.0;55.0;
;;;120152.203615;271.0;55.0;
;;;120152.30759;271.0;55.0;
;;;120152.41158;271.0;55.0;
;;;120152.515534;272.0;55.0;
;;;120152.619501;272.0;55.0;
;;;120152.72349;273.0;55.0;
;;;120152.827507;273.0;55.0;
;;;120152.931939;274.0;55.0;
;;;120153.037464;274.0;55.0;
;;;120153.142166;274.0;55.0;
;;;120153.246537;275.0;55.0;
;;;120153.350744;275.0;55.0;
;;;120153.455214;276.0;55.0;
;;;120153.559858;276.0;55.0;
;;;120153.664453;277.0;55.0;
;;;120153.768778;277.0;55.0;
;;;120153.873281;277.0;55.0;
;;;120153.980008;278.0;55.0;
;;;120154.085261;278.0;55.0;
;;;120154.189525;279.0;55.0;
;;;120154.29374;279.0;55.0;
;;;120154.398556;279.0;55.0;
;;;120154.502937;279.0;55.0;
;;;120154.607334;279.0;55.0;
;;;120154.712287;280.0;55.0;
;;;120154.81678;280.0;55.0;
;;;120154.921077;280.0;55.0;
;;;120155.026154;281.0;55.0;
;;;120155.130465;281.0;55.0;
;;;120155.234851;281.0;55.0;
;;;120155.340062;281.0;55.0;
