('192.168.70.129', 52798, '12.1.1.151', 10000);('192.168.70.129', 52798, '12.1.1.151', 10000);('192.168.70.129', 52798, '12.1.1.151', 10000);
6.864965438842773;6.0;4.0;
6.968796491622925;6.0;4.0;
7.072656869888306;6.0;4.0;
7.176453590393066;5.0;4.0;
7.2802488803863525;6.0;4.0;
7.384033441543579;6.0;4.0;
7.487927436828613;6.0;4.0;
7.591719627380371;7.0;4.0;
7.695563077926636;7.0;4.0;
7.79939341545105;6.0;4.0;
7.90324854850769;5.0;4.0;
8.007078647613525;6.0;4.0;
8.110865592956543;5.0;4.0;
8.214641332626343;7.0;4.0;
8.318377256393433;7.0;4.0;
8.422141790390015;4.0;3.0;
8.525901794433594;7.0;6.0;
8.648769617080688;6.0;4.0;
8.75256061553955;6.0;3.0;
8.856338262557983;5.0;4.0;
8.960089921951294;5.0;3.0;
9.063838481903076;5.0;4.0;
9.167587041854858;7.0;4.0;
9.271332263946533;6.0;4.0;
9.375088453292847;5.0;4.0;
9.478888273239136;7.0;4.0;
9.582663536071777;5.0;4.0;
9.686473369598389;5.0;4.0;
9.790290832519531;6.0;4.0;
9.89406967163086;6.0;4.0;
9.997885704040527;5.0;4.0;
10.101661682128906;6.0;4.0;
10.205441236495972;6.0;3.0;
10.309255599975586;6.0;3.0;
10.413053035736084;6.0;4.0;
10.516847133636475;7.0;4.0;
10.62061333656311;5.0;4.0;
10.724393367767334;5.0;4.0;
10.82817006111145;6.0;4.0;
10.931955337524414;6.0;4.0;
11.035822629928589;6.0;4.0;
11.139790534973145;6.0;4.0;
11.244096994400024;6.0;4.0;
11.348309755325317;6.0;4.0;
11.452144145965576;7.0;3.0;
11.555909156799316;6.0;4.0;
11.659685134887695;7.0;4.0;
11.763494968414307;6.0;4.0;
11.867250204086304;5.0;4.0;
11.971097707748413;6.0;4.0;
12.075081586837769;5.0;4.0;
12.178905725479126;6.0;4.0;
12.282732725143433;6.0;4.0;
12.386510133743286;6.0;4.0;
12.49031925201416;5.0;3.0;
12.594157457351685;5.0;4.0;
12.697932004928589;7.0;4.0;
12.801744222640991;5.0;4.0;
12.905544757843018;6.0;4.0;
13.009334564208984;6.0;4.0;
13.113115549087524;6.0;4.0;
13.216887712478638;7.0;4.0;
13.32065486907959;5.0;4.0;
13.42442798614502;6.0;4.0;
13.52819561958313;7.0;4.0;
13.640480279922485;6.0;4.0;
13.744305610656738;6.0;4.0;
13.848292589187622;6.0;4.0;
13.952033519744873;5.0;4.0;
14.055794715881348;5.0;4.0;
14.159577369689941;6.0;4.0;
14.26339840888977;5.0;4.0;
14.367152214050293;5.0;4.0;
14.470906257629395;7.0;4.0;
14.574715614318848;6.0;4.0;
14.678494691848755;6.0;4.0;
