('12.1.1.152', 37194, '192.168.70.129', 10000);('12.1.1.152', 37194, '192.168.70.129', 10000);('12.1.1.152', 37194, '192.168.70.129', 10000);('12.1.1.152', 37196, '192.168.70.129', 10000);('12.1.1.152', 37196, '192.168.70.129', 10000);('12.1.1.152', 37196, '192.168.70.129', 10000);
;;;1687545987.286073;68.0;0;
;;;1687545987.2895136;68.0;0;
;;;1687545987.2929668;68.0;0;
;;;1687545987.2964382;72.0;0;
;;;1687545987.2998607;90.0;0;
;;;1687545987.303268;90.0;0;
;;;1687545987.3066797;92.0;0;
;;;1687545987.3100958;95.0;0;
;;;1687545987.3135958;96.0;0;
;;;1687545987.318244;96.0;0;
;;;1687545987.322111;97.0;0;
;;;1687545987.3256927;97.0;0;
;;;1687545987.3301024;97.0;0;
;;;1687545987.3340347;97.0;0;
;;;1687545987.337702;97.0;0;
;;;1687545987.3412175;97.0;0;
;;;1687545987.3449173;97.0;0;
;;;1687545987.3490565;97.0;0;
;;;1687545987.3526578;97.0;0;
;;;1687545987.3561676;97.0;0;
;;;1687545987.360154;97.0;0;
;;;1687545987.3642159;97.0;0;
;;;1687545987.3677337;97.0;0;
;;;1687545987.37198;98.0;0;
;;;1687545987.3757982;110.0;0;
;;;1687545987.3794081;110.0;0;
;;;1687545987.3832226;110.0;0;
;;;1687545987.3867917;120.0;0;
;;;1687545987.3908598;122.0;0;
;;;1687545987.395002;122.0;0;
;;;1687545987.398718;122.0;0;
;;;1687545987.402474;122.0;0;
;;;1687545987.4060092;122.0;0;
;;;1687545987.4095142;122.0;0;
;;;1687545987.4130876;122.0;0;
;;;1687545987.4165385;123.0;0;
;;;1687545987.420381;132.0;0;
;;;1687545987.4243584;133.0;0;
;;;1687545987.428519;133.0;0;
;;;1687545987.4320686;133.0;0;
;;;1687545987.4355981;133.0;0;
;;;1687545987.4393337;133.0;0;
;;;1687545987.4445372;133.0;0;
;;;1687545987.4481335;133.0;0;
;;;1687545987.451681;135.0;0;
;;;1687545987.4550745;135.0;0;
;;;1687545987.4584272;135.0;0;
;;;1687545987.4617817;141.0;0;
;;;1687545987.4651203;141.0;0;
;;;1687545987.468578;141.0;0;
;;;1687545987.4719484;142.0;0;
;;;1687545987.4753196;148.0;0;
;;;1687545987.478701;149.0;0;
;;;1687545987.482056;150.0;0;
;;;1687545987.4853926;152.0;0;
;;;1687545987.4887273;154.0;0;
;;;1687545987.4920456;156.0;0;
;;;1687545987.4953926;158.0;0;
;;;1687545987.498781;158.0;0;
;;;1687545987.502123;160.0;0;
;;;1687545987.5055704;162.0;0;
;;;1687545987.508905;164.0;0;
;;;1687545987.51226;164.0;0;
;;;1687545987.515622;166.0;0;
;;;1687545987.518971;168.0;0;
;;;1687545987.5223405;170.0;0;
;;;1687545987.5256793;172.0;0;
;;;1687545987.5290537;172.0;0;
;;;1687545987.5324297;174.0;0;
;;;1687545987.5358205;176.0;0;
;;;1687545987.5392182;178.0;0;
;;;1687545987.5425942;180.0;0;
;;;1687545987.5459523;182.0;0;
;;;1687545987.5493052;182.0;0;
;;;1687545987.552654;184.0;0;
;;;1687545987.5560186;186.0;0;
;;;1687545987.5593917;186.0;0;
;;;1687545987.5627427;188.0;0;
;;;1687545987.5660753;190.0;0;
;;;1687545987.5694144;192.0;0;
;;;1687545987.5727277;192.0;0;
;;;1687545987.5760975;194.0;0;
;;;1687545987.5794713;196.0;0;
;;;1687545987.5828195;198.0;0;
;;;1687545987.5861893;198.0;0;
;;;1687545987.5895395;200.0;0;
;;;1687545987.5928512;202.0;0;
;;;1687545987.596169;202.0;0;
;;;1687545987.599532;204.0;0;
