Throughput;Throughput;Sending Rate;Sending Rate;
1685949467.3767986;0.26035351780737215;1685949467.3767986;0.25789276911573294;
1685949467.5767987;0.25;1685949467.5767987;0.25;
1685949467.7767987;0.47648815659557003;1685949467.7767987;0.4777297964219617;
1685949467.9767988;0.25;1685949467.9767988;0.25;
1685949468.1767988;0.2606294985267234;1685949468.1767988;0.26996805111821087;
1685949468.3767989;0.2611012796717113;1685949468.3767989;0.26116760769878655;
1685949468.576799;0.33008909970737577;1685949468.576799;0.31956628177404217;
1685949468.776799;0.2553165521702463;1685949468.776799;0.2554341405788541;
1685949468.976799;0.25574403866946815;1685949468.976799;0.2556810845706908;
1685949469.176799;0.25;1685949469.176799;0.25;
1685949469.376799;0.4383439465789609;1685949469.376799;0.44300219826232595;
1685949469.5767992;0.25;1685949469.5767992;0.25;
1685949469.7767992;0.3561760989569441;1685949469.7767992;0.3824672390420244;
1685949469.9767992;0.3228909985104328;1685949469.9767992;0.32084463386284384;
1685949470.1767993;0.2670188606613468;1685949470.1767993;0.2614226037009236;
1685949470.3767993;0.2556150432164241;1685949470.3767993;0.2555548697691643;
1685949470.5767994;0.2652468070813594;1685949470.5767994;0.25605971574424324;
1685949470.7767994;0.25;1685949470.7767994;0.25;
1685949470.9767995;0.37572818991620527;1685949470.9767995;0.36764705882352944;
1685949471.1767995;0.25;1685949471.1767995;0.25;
1685949471.3767996;0.25;1685949471.3767996;0.25;
1685949471.5767996;0.28490507756541017;1685949471.5767996;0.2698549556809025;
1685949471.7767997;0.34950645779044753;1685949471.7767997;0.3364231510242598;
1685949471.9767997;0.26074364588090465;1685949471.9767997;0.2554341405788541;
1685949472.1767998;0.261353223073224;1685949472.1767998;0.2614226037009236;
1685949472.3767998;0.25;1685949472.3767998;0.25;
1685949472.5767999;0.4259005468735345;1685949472.5767999;0.45096979918832025;
1685949472.7768;0.25;1685949472.7768;0.25;
1685949472.9768;0.25;1685949472.9768;0.25;
1685949473.1768;0.42602727096273446;1685949473.1768;0.4471161067441045;
1685949473.3768;0.36100440472121015;1685949473.3768;0.3375035141973573;
1685949473.5768;0.2661061691781689;1685949473.5768;0.2635769310232874;
1685949473.7768002;0.2659352414028898;1685949473.7768002;0.26098370549185274;
1685949473.9768002;0.2640777296106985;1685949473.9768002;0.26080575917759413;
1685949474.1768003;0.34299053270258334;1685949474.1768003;0.3296316985784182;
1685949474.3768003;0.26682814927252696;1685949474.3768003;0.2675222871195819;
1685949474.5768003;0.25;1685949474.5768003;0.25;
1685949474.7768004;0.25;1685949474.7768004;0.25;
1685949474.9768004;0.25;1685949474.9768004;0.25;
1685949475.1768005;0.289507009767526;1685949475.1768005;0.2778460533275256;
1685949475.3768005;0.4;1685949475.3768005;0.3764398333469488;
1685949475.5768006;0.2721697571779075;1685949475.5768006;0.2667409670480407;
1685949475.7768006;0.26843548508903997;1685949475.7768006;0.26308004163699117;
1685949475.9768007;0.25;1685949475.9768007;0.25;
1685949476.1768007;0.4672592608430764;1685949476.1768007;0.4319764910753156;
1685949476.3768008;0.25832694143892937;1685949476.3768008;0.2553469819575101;
1685949476.5768008;0.25;1685949476.5768008;0.25;
1685949476.7768009;0.25;1685949476.7768009;0.25;
1685949476.976801;0.25;1685949476.976801;0.25;
1685949477.176801;0.3956651724181072;1685949477.176801;0.434583441474176;
1685949477.376801;0.41853100471235133;1685949477.376801;0.3839620258493664;
1685949477.576801;0.29897061224468785;1685949477.576801;0.28374320846439804;
1685949477.776801;0.2828117256066336;1685949477.776801;0.27307205014503383;
