('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 44630, '192.168.70.129', 10001);('12.1.1.151', 44630, '192.168.70.129', 10001);('12.1.1.151', 44630, '192.168.70.129', 10001);total;total;total;
1685938054.5338366;0;0;1685938054.5338366;0;192;1685938054.5338366;0;192;
1685938054.7338367;0;0;1685938054.7338367;0;86;1685938054.7338367;0;86;
1685938054.9338367;0;0;1685938054.9338367;0;65;1685938054.9338367;0;65;
1685938055.1338367;0;0;1685938055.1338367;0;47;1685938055.1338367;0;47;
1685938055.3338368;0;0;1685938055.3338368;0;72;1685938055.3338368;0;72;
1685938055.5338368;0;0;1685938055.5338368;0;53;1685938055.5338368;0;53;
1685938055.733837;0;0;1685938055.733837;0;69;1685938055.733837;0;69;
1685938055.933837;0;37;1685938055.933837;0;58;1685938055.933837;0;95;
1685938056.133837;0;29;1685938056.133837;0;63;1685938056.133837;0;92;
1685938056.333837;0;4;1685938056.333837;0;80;1685938056.333837;0;84;
1685938056.533837;0;0;1685938056.533837;0;82;1685938056.533837;0;82;
1685938056.7338371;0;0;1685938056.7338371;0;35;1685938056.7338371;0;35;
1685938056.9338372;0;0;1685938056.9338372;0;0;1685938056.9338372;0;0;
1685938057.1338372;0;6;1685938057.1338372;0;199;1685938057.1338372;0;205;
1685938057.3338373;0;0;1685938057.3338373;0;79;1685938057.3338373;0;79;
1685938057.5338373;0;0;1685938057.5338373;0;77;1685938057.5338373;0;77;
1685938057.7338374;0;0;1685938057.7338374;0;70;1685938057.7338374;0;70;
1685938057.9338374;0;0;1685938057.9338374;0;65;1685938057.9338374;0;65;
1685938058.1338375;0;0;1685938058.1338375;0;92;1685938058.1338375;0;92;
1685938058.3338375;0;6;1685938058.3338375;0;29;1685938058.3338375;0;35;
1685938058.5338376;0;0;1685938058.5338376;0;80;1685938058.5338376;0;80;
1685938058.7338376;0;0;1685938058.7338376;0;86;1685938058.7338376;0;86;
1685938058.9338377;0;0;1685938058.9338377;0;41;1685938058.9338377;0;41;
1685938059.1338377;0;0;1685938059.1338377;0;0;1685938059.1338377;0;0;
1685938059.3338377;0;0;1685938059.3338377;0;220;1685938059.3338377;0;220;
1685938059.5338378;0;0;1685938059.5338378;0;87;1685938059.5338378;0;87;
1685938059.7338378;0;0;1685938059.7338378;0;74;1685938059.7338378;0;74;
1685938059.933838;0;56;1685938059.933838;0;47;1685938059.933838;0;103;
1685938060.133838;0;43;1685938060.133838;0;44;1685938060.133838;0;87;
1685938060.333838;0;0;1685938060.333838;0;83;1685938060.333838;0;83;
1685938060.533838;0;6;1685938060.533838;0;70;1685938060.533838;0;76;
1685938060.733838;0;0;1685938060.733838;0;83;1685938060.733838;0;83;
1685938060.9338381;0;0;1685938060.9338381;0;70;1685938060.9338381;0;70;
1685938061.1338382;0;0;1685938061.1338382;0;96;1685938061.1338382;0;96;
1685938061.3338382;0;8;1685938061.3338382;0;21;1685938061.3338382;0;29;
1685938061.5338383;0;0;1685938061.5338383;0;0;1685938061.5338383;0;0;
1685938061.7338383;0;0;1685938061.7338383;0;0;1685938061.7338383;0;0;
1685938061.9338384;0;0;1685938061.9338384;0;263;1685938061.9338384;0;263;
1685938062.1338384;0;0;1685938062.1338384;0;66;1685938062.1338384;0;66;
1685938062.3338385;0;10;1685938062.3338385;0;57;1685938062.3338385;0;67;
1685938062.5338385;0;0;1685938062.5338385;0;76;1685938062.5338385;0;76;
1685938062.7338386;0;0;1685938062.7338386;0;65;1685938062.7338386;0;65;
